size,sort_name,array_type,average_time
20800,Hybrid Merge+Insertion Sort,random,7
20900,Hybrid Merge+Insertion Sort,random,7
21000,Hybrid Merge+Insertion Sort,random,7
21100,Hybrid Merge+Insertion Sort,random,7
21200,Hybrid Merge+Insertion Sort,random,8
21300,Hybrid Merge+Insertion Sort,random,8
21400,Hybrid Merge+Insertion Sort,random,8
21500,Hybrid Merge+Insertion Sort,random,8
21600,Hybrid Merge+Insertion Sort,random,8
21700,Hybrid Merge+Insertion Sort,random,8
21800,Hybrid Merge+Insertion Sort,random,8
21900,Hybrid Merge+Insertion Sort,random,9
22000,Hybrid Merge+Insertion Sort,random,9
22100,Hybrid Merge+Insertion Sort,random,8
22200,Hybrid Merge+Insertion Sort,random,8
22300,Hybrid Merge+Insertion Sort,random,8
22400,Hybrid Merge+Insertion Sort,random,8
22500,Hybrid Merge+Insertion Sort,random,8
22600,Hybrid Merge+Insertion Sort,random,8
22700,Hybrid Merge+Insertion Sort,random,8
22800,Hybrid Merge+Insertion Sort,random,8
22900,Hybrid Merge+Insertion Sort,random,8
23000,Hybrid Merge+Insertion Sort,random,8
23100,Hybrid Merge+Insertion Sort,random,8
23200,Hybrid Merge+Insertion Sort,random,8
23300,Hybrid Merge+Insertion Sort,random,9
23400,Hybrid Merge+Insertion Sort,random,9
23500,Hybrid Merge+Insertion Sort,random,10
23600,Hybrid Merge+Insertion Sort,random,9
23700,Hybrid Merge+Insertion Sort,random,9
23800,Hybrid Merge+Insertion Sort,random,9
23900,Hybrid Merge+Insertion Sort,random,9
24000,Hybrid Merge+Insertion Sort,random,9
24100,Hybrid Merge+Insertion Sort,random,9
24200,Hybrid Merge+Insertion Sort,random,9
24300,Hybrid Merge+Insertion Sort,random,9
24400,Hybrid Merge+Insertion Sort,random,9
24500,Hybrid Merge+Insertion Sort,random,9
24600,Hybrid Merge+Insertion Sort,random,9
24700,Hybrid Merge+Insertion Sort,random,9
24800,Hybrid Merge+Insertion Sort,random,9
24900,Hybrid Merge+Insertion Sort,random,9
25000,Hybrid Merge+Insertion Sort,random,9
25100,Hybrid Merge+Insertion Sort,random,9
25200,Hybrid Merge+Insertion Sort,random,10
25300,Hybrid Merge+Insertion Sort,random,10
25400,Hybrid Merge+Insertion Sort,random,9
25500,Hybrid Merge+Insertion Sort,random,9
25600,Hybrid Merge+Insertion Sort,random,9
25700,Hybrid Merge+Insertion Sort,random,10
25800,Hybrid Merge+Insertion Sort,random,10
25900,Hybrid Merge+Insertion Sort,random,10
26000,Hybrid Merge+Insertion Sort,random,9
26100,Hybrid Merge+Insertion Sort,random,9
26200,Hybrid Merge+Insertion Sort,random,9
26300,Hybrid Merge+Insertion Sort,random,9
26400,Hybrid Merge+Insertion Sort,random,9
26500,Hybrid Merge+Insertion Sort,random,10
26600,Hybrid Merge+Insertion Sort,random,9
26700,Hybrid Merge+Insertion Sort,random,10
26800,Hybrid Merge+Insertion Sort,random,10
26900,Hybrid Merge+Insertion Sort,random,10
27000,Hybrid Merge+Insertion Sort,random,10
27100,Hybrid Merge+Insertion Sort,random,10
27200,Hybrid Merge+Insertion Sort,random,10
27300,Hybrid Merge+Insertion Sort,random,10
27400,Hybrid Merge+Insertion Sort,random,10
27500,Hybrid Merge+Insertion Sort,random,10
27600,Hybrid Merge+Insertion Sort,random,10
27700,Hybrid Merge+Insertion Sort,random,11
27800,Hybrid Merge+Insertion Sort,random,11
27900,Hybrid Merge+Insertion Sort,random,12
28000,Hybrid Merge+Insertion Sort,random,10
28100,Hybrid Merge+Insertion Sort,random,10
28200,Hybrid Merge+Insertion Sort,random,10
28300,Hybrid Merge+Insertion Sort,random,10
28400,Hybrid Merge+Insertion Sort,random,10
28500,Hybrid Merge+Insertion Sort,random,10
28600,Hybrid Merge+Insertion Sort,random,10
28700,Hybrid Merge+Insertion Sort,random,10
28800,Hybrid Merge+Insertion Sort,random,10
28900,Hybrid Merge+Insertion Sort,random,11
29000,Hybrid Merge+Insertion Sort,random,11
29100,Hybrid Merge+Insertion Sort,random,11
29200,Hybrid Merge+Insertion Sort,random,11
29300,Hybrid Merge+Insertion Sort,random,11
29400,Hybrid Merge+Insertion Sort,random,11
29500,Hybrid Merge+Insertion Sort,random,11
29600,Hybrid Merge+Insertion Sort,random,11
29700,Hybrid Merge+Insertion Sort,random,11
29800,Hybrid Merge+Insertion Sort,random,11
29900,Hybrid Merge+Insertion Sort,random,11
30000,Hybrid Merge+Insertion Sort,random,11
30100,Hybrid Merge+Insertion Sort,random,11
30200,Hybrid Merge+Insertion Sort,random,11
30300,Hybrid Merge+Insertion Sort,random,11
30400,Hybrid Merge+Insertion Sort,random,11
30500,Hybrid Merge+Insertion Sort,random,11
30600,Hybrid Merge+Insertion Sort,random,11
30700,Hybrid Merge+Insertion Sort,random,11
30800,Hybrid Merge+Insertion Sort,random,11
30900,Hybrid Merge+Insertion Sort,random,11
31000,Hybrid Merge+Insertion Sort,random,12
31100,Hybrid Merge+Insertion Sort,random,11
31200,Hybrid Merge+Insertion Sort,random,11
31300,Hybrid Merge+Insertion Sort,random,11
31400,Hybrid Merge+Insertion Sort,random,12
31500,Hybrid Merge+Insertion Sort,random,13
31600,Hybrid Merge+Insertion Sort,random,14
31700,Hybrid Merge+Insertion Sort,random,14
31800,Hybrid Merge+Insertion Sort,random,12
